CodigoProducto,Producto,Categoria
CO-TYE755-1900,TOYO GYOZA DE CARNE 20 PZAS,TORTILLAS EMPANADAS
SE-HYE403-14157,KERRY PANKO 15.876 KG,PANKO
SE-SYE558-1386,S&B SHICHIMI TOGARASHI 300 G,SAZONADOR JAPONÉS
SE-SYE558-8688,SHIMAYA KATSUO DASHI KARYU 2 PZAS 1 KG,SAZONADOR JAPONÉS
RE-FVL357-8322,TOYO GARI BLANCO 454 G,VERDURA CURTIDA
CO-TYE753-1325,PEKING WONTON SKIN 454 G,TORTILLA PARA WONTON
SE-SAL505-0552,HFF SAMBAL OELEK (XL) 136OZ,SALSA VIETNAMITA
SE-SAL503-1934,TOYO SALSA DE ANGUILA 1 L,SALSA JAPONESA
SE-SAL500-0864,LKK HOISIN SAUCE 5 LB (2.27 KG),SALSA CHINA
SE-SFP604-0541,HARUSAMEN VERMICELLI 300 G,FIDEO VERMICELLI
SE-DGB304-9777,WTN GALLETA DE LA FORTUNA ING/ESP CAJA 350 PZA,GALLETA DULCE
SE-FVL359-2136,JACK POT ELOTITO CORTADO 2.9 KG,VERDURA ENLATADA
SE-SAL549-5474,JACK POT SRIRACHA TO GO 3.629 KG,OTRAS SALSAS
SE-SAL502-1313,PANDA SOY SAUCE TGO 450PK,SALSA DE SOYA
SE-SFP603-0138,CHIKARA UDON SABOR ORIENTAL 198 G,FIDEO UDON
CO-TYE755-9904,SEÑOR YOSHI GYOZA DE CARNE Y VERDURA 1 KG,TORTILLAS EMPANADAS
CO-SFP606-7121,SHIMADAYA TAIKOBAN RAMEN 5 P 1 KG,SOPAS Y FIDEOS INSTA
SE-SFP606-13276,MIYAKOICHI UDON SABOR ORIENTAL 200 G,SOPAS Y FIDEOS INSTA
SE-PDM450-1913,TOYO NORI RED 100 HJS,ALGA
OT-UTE805-8693,TOYO PALILLO DE MADERA 100 PARES,PALILLOS DE MADERA
SE-SAL502-0910,LKK SALSA SOYA CHAMPIÑON 1.88 L,SALSA DE SOYA
SE-SAL503-0803,KIKKOMAN TERIYAKI GLAZE (5LB) 2.27 KG,SALSA JAPONESA
CO-FVL356-8665,TOYO EDAMAME SIN VAINA 400 G,VERDURA CONGELADA
SE-ARR101-0836,KOKUHO ARROZ U.S. # 1 22.68 KG,ARROZ CALROSE
SE-SAL500-4748,LKK SALSA PARA POLLO A LA NARANJA 4.54 KG,SALSA CHINA
SE-SYE555-0880,LKK CHAR SIU 240 G,SAZONADOR CHINO
SE-TE652-8465,JACK POT TE NEGRO 2.268 KG,TÉ NEGRO
SE-SAL504-1316,PANTAI SAUCE SPENGRLL 32.5OZ,SALSA TAILANDESA
SE-SAL549-1769,SRIRACHA CHICA 481 GRS.,OTRAS SALSAS
SE-PDM450-1912,TOYO NORI RED 10 HJS,ALGA
SE-SFP606-8018,SAMYANG HOT CHICKEN RAMEN QUESO PICANTE 140 G,SOPAS Y FIDEOS INSTA
CO-PDM454-9940,KOKKU HUEVA DE PESCADO PROC (MASAGO) 500 G,HUEVA DE PESCADO
SE-SAL500-3033,HFF SRIRACHA 255 G,SALSA CHINA
SE-ARR101-1888,TOYO ARROZ 2 KG,ARROZ CALROSE
SE-SAL502-1937,TOYO SALSA DE SOYA 5 LTS.,SALSA DE SOYA
CO-PDM453-1750,SOFT SHELL NACIONAL  KG.,MARISCOS
CO-TYE755-8977,AJINOMOTO GYOZA DE CERDO 120 PZAS 2.4 KG,TORTILLAS EMPANADAS
SE-TYE754-1100,MIYAKO RAINBOW NORI YELLOW NAT 2.1OZ,TORTILLA DE SOYA
CO-PDM453-9525,TOYO CAMARON FRIZADO SIN CABEZA 41/50 5KG PZA,MARISCOS
SE-BEB157-3982,SAWANOTSURU JUNMAISHU KOME DAKE NO SAKE 1.8 L,SAKE PARA BEBER
SE-PDM453-10346,TOYO NORI GOLD 50 HJS,MARISCOS
SE-SYE559-1801,TAKARA MIRIN-FU CHOMI 19 L,SAZONADOR MIRIN
SE-SYE599-2023,WILSEY MAYONESA 3.79 L,OTRO SAZONADOR
SE-ARR101-0064,BOTAN ARROZ MUSENMAI 22.68 KG,ARROZ CALROSE
SE-SYE550-1447,SB CURRY SAUCE MIX FLAKE 1 KG,CURRY
CO-SFP602-3347,SUN NOODLE NAMA YAKISOBA #22 50 PZAS 8.52 KG,FIDE JAPONÉS
RE-TQO702-0581,HOUSE HINOICHI TOFU EXTRA FIRME 340 G,TOFU
SE-PDM450-1909,TOYO NORI BLUE (F) 100 HJS C/40 PQ,ALGA
CO-HYE449-7719,SHOWA MARU TAKOYAKI 50 PZAS 1 KG,OTRAS HARINAS
SE-HYE449-0242,ERAWAN TAPIOCA STARCH 454 G,OTRAS HARINAS
